atributo,subgrupo,n,prevalencia,auroc,sensibilidad,especificidad,fnr_infradiagnostico,fpr
fitzpatrick,3-4 media,1597,0.474,0.6579,0.6394,0.6,0.3606,0.4
fitzpatrick,5-6 oscura,408,0.5074,0.6985,0.7005,0.6169,0.2995,0.3831
fitzpatrick,1-2 clara,2310,0.5173,0.6924,0.7222,0.513,0.2778,0.487
fitzpatrick,UNKNOWN,177,0.5819,0.7676,0.8835,0.4324,0.1165,0.5676
fitzpatrick_exacto,4,667,0.4513,0.6618,0.6213,0.6257,0.3787,0.3743
fitzpatrick_exacto,3,930,0.4903,0.6536,0.6513,0.5802,0.3487,0.4198
fitzpatrick_exacto,5,305,0.482,0.6928,0.6803,0.6519,0.3197,0.3481
fitzpatrick_exacto,2,1413,0.5251,0.6672,0.7062,0.468,0.2938,0.532
fitzpatrick_exacto,1,897,0.505,0.7288,0.7483,0.5811,0.2517,0.4189
fitzpatrick_exacto,6,103,0.5825,0.6934,0.75,0.4884,0.25,0.5116
fitzpatrick_exacto,-1,177,0.5819,0.7676,0.8835,0.4324,0.1165,0.5676
