atributo,subgrupo,n,prevalencia,auroc,sensibilidad,especificidad,fnr_infradiagnostico,fpr
fitzpatrick,5-6 oscura,69,0.5507,0.91,0.7632,0.8387,0.2368,0.1613
fitzpatrick,UNKNOWN,41,0.5366,0.9234,0.8182,0.8421,0.1818,0.1579
fitzpatrick,1-2 clara,472,0.4746,0.8997,0.8482,0.8065,0.1518,0.1935
fitzpatrick,3-4 media,317,0.4606,0.941,0.8973,0.8772,0.1027,0.1228
fitzpatrick_exacto,5,51,0.5294,0.9444,0.7407,0.875,0.2593,0.125
fitzpatrick_exacto,-1,41,0.5366,0.9234,0.8182,0.8421,0.1818,0.1579
fitzpatrick_exacto,2,294,0.4796,0.8723,0.8227,0.7712,0.1773,0.2288
fitzpatrick_exacto,3,185,0.4919,0.9406,0.8791,0.8723,0.1209,0.1277
fitzpatrick_exacto,1,178,0.4663,0.9447,0.8916,0.8632,0.1084,0.1368
fitzpatrick_exacto,4,132,0.4167,0.9414,0.9273,0.8831,0.0727,0.1169
