atributo,subgrupo,n,prevalencia,auroc,sensibilidad,especificidad,fnr_infradiagnostico,fpr
fitzpatrick,1,29,0.7931,0.5435,0.7826,0.1667,0.2174,0.8333
fitzpatrick,3,80,0.725,0.817,0.8621,0.7273,0.1379,0.2727
fitzpatrick,2,174,0.7471,0.7988,0.9,0.4545,0.1,0.5455
sex,M,173,0.7688,0.7684,0.8722,0.575,0.1278,0.425
sex,F,120,0.7,0.8175,0.8929,0.5,0.1071,0.5
age_group,75+,88,0.5114,0.8279,0.8222,0.7209,0.1778,0.2791
age_group,40-59,160,0.4875,0.8854,0.8846,0.7317,0.1154,0.2683
age_group,60-74,157,0.5414,0.9068,0.8941,0.7778,0.1059,0.2222
age_group,18-39,39,0.2308,1.0,1.0,0.8667,0.0,0.1333
view,FOREARM,82,0.3415,0.8853,0.7857,0.8148,0.2143,0.1852
view,BACK,55,0.4364,0.8703,0.7917,0.8065,0.2083,0.1935
view,ARM,41,0.439,0.8913,0.8333,0.7391,0.1667,0.2609
view,FACE,112,0.4464,0.9271,0.9,0.8387,0.1,0.1613
view,NOSE,33,0.8788,0.8621,0.931,0.5,0.069,0.5
view,CHEST,44,0.7045,0.9305,0.9355,0.9231,0.0645,0.0769
view,HAND,20,0.15,0.9608,1.0,0.8235,0.0,0.1765
view,NECK,16,0.625,0.6833,1.0,0.3333,0.0,0.6667
view,THIGH,21,0.4762,0.8909,1.0,0.4545,0.0,0.5455
fitzpatrick x sex,3 | M,38,0.6579,0.8308,0.8,0.8462,0.2,0.1538
fitzpatrick x sex,1 | M,23,0.7826,0.4444,0.8333,0.0,0.1667,1.0
fitzpatrick x sex,2 | M,103,0.8252,0.7399,0.8941,0.4444,0.1059,0.5556
fitzpatrick x sex,3 | F,42,0.7857,0.7879,0.9091,0.5556,0.0909,0.4444
fitzpatrick x sex,2 | F,71,0.6338,0.8487,0.9111,0.4615,0.0889,0.5385
